 Country,Mortality rate
Afghanistan,3.540778324
Albania,3.075697211
Algeria,3.726976624
Andorra,5.439330544
Angola,4.452926209
Anguilla,0
Antigua and Barbuda,3.260869565
Argentina,1.888177463
Armenia,1.957436278
Aruba,1.140684411
Australia,1.34312494
Austria,3.286984272
Azerbaijan,1.457543084
Bahamas,1.686746988
Bahrain,0.371312659
Bangladesh,1.319023335
Barbados,5.072463768
Belarus,0.851057639
Belgium,13.46374202
Belize,1.369863014
Benin,1.962809917
Bermuda,5.696202532
Bhutan,0
Bolivia (Plurinational State of),4.009511782
"Bonaire, Sint Eustatius and Saba",0
Bosnia and Herzegovina,2.810703386
Botswana,0.248756219
Brazil,3.361145973
British Virgin Islands,11.11111111
Brunei Darussalam,2.112676056
Bulgaria,3.335082066
Burkina Faso,4.595744681
Burundi,0.24691358
Cabo Verde,1.128747795
Cambodia,0
Cameroon,2.189335994
Canada,7.538765391
Cayman Islands,0.492610837
Central African Republic,1.271277742
Chad,8.067940552
Chile,2.698215475
China,5.258494016
Colombia,3.336092986
Comoros,1.754385965
Congo,1.582969432
Costa Rica,0.987274127
Croatia,2.832401227
Cuba,3.047091413
CuraÃ§ao,3.225806452
Cyprus,1.865369019
Czechia,2.133260214
CÃ´te dâ€™Ivoire,0.625752106
Democratic Republic of the Congo,2.31054584
Denmark,4.27226146
Djibouti,1.105282877
Dominica,0
Dominican Republic,1.636243621
Ecuador,6.322404138
Egypt,5.237425772
El Salvador,2.682951246
Equatorial Guinea,1.721634516
Eritrea,0
Estonia,2.934326968
Eswatini,1.79028133
Ethiopia,1.752572687
Falkland Islands (Malvinas),0
Faroe Islands,0
Fiji,3.703703704
Finland,4.373678647
France,16.29377458
French Guiana,0.580621749
French Polynesia,0
Gabon,0.64369557
Gambia,1.743119266
Georgia,1.387755102
Germany,4.259556906
Ghana,0.508227864
Gibraltar,0
Greece,3.892270799
Greenland,0
Grenada,0
Guadeloupe,5.517241379
Guam,1.237623762
Guatemala,3.910017975
Guernsey,5.158730159
Guinea,0.634920635
Guinea-Bissau,1.413255361
Guyana,4.089219331
Haiti,2.329253849
Holy See,0
Honduras,3.14141739
Hungary,12.93788953
Iceland,0.511508951
India,2.014807177
Indonesia,4.581265232
Iran (Islamic Republic of),5.625023099
Iraq,3.602711193
Ireland,6.650653055
Isle of Man,7.142857143
Israel,0.724728383
Italy,14.07540093
Jamaica,1.215805471
Japan,2.223077252
Jersey,8.985507246
Jordan,1.679389313
Kazakhstan,1.008741211
Kenya,1.617834888
Kosovo[1],3.045127796
Kuwait,0.665739687
Kyrgyzstan,3.67744683
Lao People's Democratic Republic,0
Latvia,2.48447205
Lebanon,1.189137072
Lesotho,3.099730458
Liberia,6.401944895
Libya,2.126821583
Liechtenstein,1.123595506
Lithuania,3.630658897
Luxembourg,1.672993111
Madagascar,1.091162359
Malawi,3.092560554
Malaysia,1.378169791
Maldives,0.387913434
Mali,4.873294347
Malta,0.962566845
Martinique,4.761904762
Mauritania,2.416128039
Mauritius,2.906976744
Mayotte,1.271186441
Mexico,10.93102574
Monaco,1.01010101
Mongolia,0
Montenegro,1.717451524
Montserrat,7.692307692
Morocco,1.499671947
Mozambique,0.713966979
Myanmar,1.671309192
Namibia,0.561009818
Nepal,0.323123229
Netherlands,10.61789711
New Caledonia,0
New Zealand,1.804757998
Nicaragua,3.766074709
Niger,5.963699222
Nigeria,2.041612484
North Macedonia,4.443122929
Northern Mariana Islands (Commonwealth of the),4.166666667
Norway,2.703844529
Oman,0.625637622
Other,1.754385965
Pakistan,2.137957009
Panama,2.192668137
Papua New Guinea,1.595744681
Paraguay,1.060233559
Peru,4.451414713
Philippines,1.740946526
Poland,3.517892392
Portugal,3.330985781
Puerto Rico,1.278939507
Qatar,0.161562361
Republic of Korea,2.089327305
Republic of Moldova,3.064533761
Romania,4.386124078
Russian Federation,1.682297957
Rwanda,0.281162137
RÃ©union,0.734214391
Saint BarthÃ©lemy,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Martin,5.660377358
Saint Pierre and Miquelon,0
Saint Vincent and the Grenadines,0
San Marino,5.857740586
Sao Tome and Principe,1.708428246
Saudi Arabia,1.08959765
Senegal,2.081250568
Serbia,2.268241037
Seychelles,0
Sierra Leone,3.588390501
Singapore,0.049154363
Sint Maarten,9.090909091
Slovakia,1.208106002
Slovenia,5.340453939
Somalia,2.881933685
South Africa,1.845665488
South Sudan,1.902834008
Spain,9.066935571
Sri Lanka,0.38718761
Sudan,6.499075164
Suriname,1.316386745
Sweden,7.000473744
Switzerland,4.705461746
Syrian Arab Republic,4.977777778
Tajikistan,0.800516462
Thailand,1.730826619
The United Kingdom,15.03258901
Timor-Leste,0
Togo,2.173913043
Trinidad and Tobago,3.555555556
Tunisia,3.039332539
Turkey,2.432581316
Turks and Caicos Islands,1.176470588
Uganda,0.472813239
Ukraine,2.343450815
United Arab Emirates,0.571428571
United Republic of Tanzania,4.125736739
United States Virgin Islands,1.704545455
United States of America,3.265238289
Uruguay,2.79245283
Uzbekistan,0.629201576
Venezuela (Bolivarian Republic of),0.860713399
Viet Nam,1.231527094
Yemen,28.48417546
Zambia,2.568644818
Zimbabwe,2.229508197
"occupied Palestinian territory, including east Jerusalem",0.560574725
